Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Бургеры;;;;;;Ккал;Белки;Жиры;Углеводы
Калифорния сет;1388,138;40,665;49,979;197,304;730;190,1558904;5,570547945;6,846438356;27,02794521
Классика сет;2287,197;70,09;41,126;444,116;1205;189,8088797;5,81659751;3,412946058;36,85609959
Лава сет;2033,233;63,604;108,734;228,526;890;228,4531461;7,146516854;12,21730337;25,67707865
Лед и пламя сет;3279,158;93,569;135,023;420,458;1550;211,5585806;6,036709677;8,71116129;27,12632258
Половика сет;1884,248;50,741;38,806;293,307;742,5;253,7707744;6,833804714;5,226397306;39,50262626
Рандеву;1506,255;27,009;6,638;278,598;770;195,6175325;3,507662338;0,862077922;36,18155844
Рэд;1662,742;79,222;70,875;193,384;804;206,8087065;9,853482587;8,815298507;24,05273632
Суши сет;651,502;21,536;26,284;75,834;362;179,9729282;5,949171271;7,260773481;20,94861878
Филадельфия нью;2084,574;92,829;85,581;258,281;990;210,5630303;9,376666667;8,644545455;26,0889899
Филадельфия сет;2707,027;80,774;79,087;395,082;1150;235,3936522;7,023826087;6,877130435;34,35495652
Хит сет;2909,632;77,423;84,803;388,856;1005;289,5156219;7,703781095;8,438109453;38,6921393
Хоссомаки крем сет;1164,595;32,735;48,192;162,731;560;207,9633929;5,845535714;8,605714286;29,05910714
Хот сет;3812,99;64,627;53,987;541,264;955;399,2659686;6,767225131;5,653089005;56,67685864
Яки сет;2306,786;63,043;108,438;313,526;1035;222,8778744;6,091111111;10,47710145;30,29236715
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Суши-торты;;;;;;Ккал;Белки;Жиры;Углеводы
Эверест;6849,681;190,579;354,668;832,358;3003;228,0946054;6,346287046;11,81045621;27,71754912
Монблан;5165,712;143,079;728,54;580,684;2353;219,5372716;6,080705482;30,96217595;24,67845304
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Соусы;;;;;;Ккал;Белки;Жиры;Углеводы
Лава соус;211,965;2,058;24,395;1,98;50;423,93;4,116;48,79;3,96
Ореховый соус;134,637;0,091;2,371;0,577;30;448,79;0,303333333;7,903333333;1,923333333
Сырно-чесночный соус;158,355;6,752;13,821;1,813;50;316,71;13,504;27,642;3,626
Тар-тар соус;159,196;0,757;16,356;1,813;50;318,392;1,514;32,712;3,626
Лауч соус;226,45;0,26;24,294;2,002;50;452,9;0,52;48,588;4,004
Оливковый острый соус (для пиццы);190,052;0,133;0,011;21,452;25;760,208;0,532;0,044;85,808
Оливковый соус (для пиццы);184,119;0,123;0,01;20,769;25;736,476;0,492;0,04;83,076
Соевый соус;330;41;0;42;20;66;8,2;0;8,4
Васаби;2536;110;24;470;5;126,8;5,5;1,2;23,5
Имбирь;83,33333333;1,666666667;0;18,33333333;18;15;0,3;0;3,3
;;;;;;;;;
