Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Бургеры;;;;;;Ккал;Белки;Жиры;Углеводы
Ролл Казанова;657,778;11,72;40,851;65,86;205;320,8673171;5,717073171;19,92731707;32,12682927
Спринг ролл с бананом;640,3;8,38;43,55;76,42;140;457,3571429;5,985714286;31,10714286;54,58571429
Спринг ролл с орехом;597,332;19,068;55,473;43,196;135;442,4681481;14,12444444;41,09111111;31,99703704
Спринг ролл шоколадный;635,06;13,268;55,185;58,895;150;423,3733333;8,845333333;36,79;39,26333333
Текорето;488,748;10,818;26,986;57,258;203;240,7625616;5,329064039;13,29359606;28,20591133
Фруктовый ролл;449,284;7,43;21,488;62,855;235;191,1846809;3,161702128;9,143829787;26,74680851
Яблоки в карамели;506,8;3,37;0,752;101,788;148;342,4324324;2,277027027;0,508108108;68,77567568
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Закуски;;;;;;Ккал;Белки;Жиры;Углеводы
Сет закусочный;3078,4;79,739;89,631;271,439;570;540,0701754;13,98929825;15,72473684;47,62087719
Гренки чесночные;762,2;9,52;16,61;93,255;150;508,1333333;6,346666667;11,07333333;62,17
Драники картофельные;466,75;9,375;14,915;50,746;200;233,375;4,6875;7,4575;25,373
Картофель фри с сырным соусом;895,21;14,225;25,555;95,79;200;447,605;7,1125;12,7775;47,895
Картофель фри;799,76;6,9;15,48;104,44;200;399,88;3,45;7,74;52,22
Кольца кальмара;717,197;25,404;24,612;53,756;195;367,7933333;13,02769231;12,62153846;27,56717949
Луковые кольца;722,1;5,6;24,717;78,299;150;481,4;3,733333333;16,478;52,19933333
Острые крылья;828,509;45,243;40;22,56;150;552,3393333;30,162;26,66666667;15,04
Сырные палочки;959,45;32,235;44,615;57,65;165;581,4848485;19,53636364;27,03939394;34,93939394
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Пицца;;;;;;Ккал;Белки;Жиры;Углеводы
Барбекю;1566,12;59,824;49,749;174,144;499;313,8517034;11,98877756;9,969739479;34,89859719
Болоньезо;1255,171;51,716;41,575;167,949;517;242,7796905;10,00309478;8,041586074;32,48529981
Вегетарианская;1218,927;41,704;32,956;166,047;487;250,2930185;8,563449692;6,767145791;34,09589322
Времена года;1216,235;56,06;40,497;161,591;487;249,7402464;11,51129363;8,315605749;33,18090349
Гавайская ;932,475;37,46;9,387;168,561;466;200,1019313;8,038626609;2,014377682;36,17188841
Дабл;2804,942;86,722;123,891;305,29;872;321,6676606;9,945183486;14,20768349;35,0103211
Деревенская;1410,145;52,202;61,962;164,054;495;284,8777778;10,54585859;12,51757576;33,14222222
Детская;1579,175;50,68;74,468;181,086;503;313,9512922;10,07554672;14,80477137;36,00119284
Дон карлеоне;1692,83;74,227;79,279;181,096;570;296,9877193;13,0222807;13,90859649;31,77122807
Жульен;1148,368;52,811;35,017;159,656;430;267,0623256;12,28162791;8,143488372;37,12930233
Карне;2807,118;98,814;140,343;278,259;880;318,9906818;11,22886364;15,94806818;31,62034091
Классика;1395,235;50,47;64,087;158,811;458;304,6364629;11,01965066;13,99279476;34,67489083
Королевская;2242,867;94,468;124,727;191,442;750;299,0489333;12,59573333;16,63026667;25,5256
Летняя;1268,905;53,905;45,872;165,038;521;243,5518234;10,34644914;8,804606526;31,67715931
Маргарита;1080,035;42,22;32,048;160,441;397;272,0491184;10,63476071;8,072544081;40,41335013
Мексиканская;1143,095;55,771;31,356;164,194;498;229,5371486;11,19899598;6,296385542;32,97068273
Мясной гигант;1832,21;73,342;79,737;188,206;575;318,6452174;12,75513043;13,86730435;32,73147826
Неаполь;1308,695;57,375;46,665;162,415;515;254,115534;11,1407767;9,061165049;31,5368932
Охотничья;1656,614;56,831;71,012;161,417;505;328,0423762;11,25366337;14,06178218;31,96376238
Пепперета;1547,275;49,195;79,677;164,056;460;336,3641304;10,69456522;17,32108696;35,66434783
Пепперони гранд;1635,535;51,16;90,607;158,761;432;378,5960648;11,84259259;20,97384259;36,75023148
Польпетто;2064,863;70,904;104,245;192,189;667;309,5746627;10,63028486;15,62893553;28,81394303
Римская;1489,055;49,964;64,438;161,198;486;306,3899177;10,28065844;13,25884774;33,16831276
Сосисочная;1823,107;70,936;76,854;159,663;530;343,9824528;13,38415094;14,50075472;30,12509434
Студенческая;1309,367;44,269;54,964;161,653;447;292,9232662;9,903579418;12,29619687;36,1639821
Тропикана;1245,095;44,666;45,053;169,901;450;276,6877778;9,925777778;10,01177778;37,75577778
Фламинго;1577,019;54,098;81,629;158,317;458;344,3272926;11,81179039;17,82292576;34,56703057
Цезарь;1417,863;61,76;62,336;158,996;484;292,9469008;12,76033058;12,87933884;32,85041322
Чикаго;4730,035;212,545;349,29;177,567;1296;364,9718364;16,40007716;26,95138889;13,70115741
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Салаты;;;;;;Ккал;Белки;Жиры;Углеводы
Греческий;744,33;4,589;12,77;29,063;250;297,732;1,8356;5,108;11,6252
Курица с фунчезой;315;19,587;2,177;19,87;182;173,0769231;10,76208791;1,196153846;10,91758242
Лемен с фунчезой;316,309;17,52;8,797;19,688;185;170,9778378;9,47027027;4,755135135;10,64216216
Салат крем с креветками;219,209;10,904;15,77;5,91;138;158,8471014;7,901449275;11,42753623;4,282608696
Свинина с фунчезой;1060,71;24,724;49,661;57,37;232;457,2025862;10,65689655;21,40560345;24,72844828
Тайский салат;321,73;14,043;0,911;28,951;212;151,759434;6,624056604;0,429716981;13,65613208
Цезарь с телятиной и беконом;775,962;22,866;42,067;40,52;245;316,7191837;9,333061224;17,17020408;16,53877551
Цезарь с креветкой;427,192;21,951;23,303;32,884;235;181,7838298;9,340851064;9,916170213;13,99319149
Цезарь с курицей;663,492;37,303;28;40,208;285;232,8042105;13,08877193;9,824561404;14,10807018
Чукка сарадо;123,667;0,213;1,135;1,799;180;68,70388889;0,118333333;0,630555556;0,999444444
Шиитаке сарадо;372,511;13,317;11,601;28,496;183;203,5579235;7,27704918;6,339344262;15,5715847
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Супы;;;;;;Ккал;Белки;Жиры;Углеводы
Сырный суп;453,036;18,882;26,995;27,306;265;170,9569811;7,125283019;10,18679245;10,30415094
Суп-пюре С курицей и шпинатом;338,663;17,087;14,019;24,274;240;141,1095833;7,119583333;5,84125;10,11416667
